IP,DNS,NetBIOS,Datacentre,OS,IP Status,QID,Title,Type,Severity,Port,Protocol,FQDN,SSL,CVE ID,Vendor Reference,Bugtraq ID,CVSS Base,CVSS Temporal,CVSS3.1 Base,CVSS3.1 Temporal,CVSS4 Base,Threat,Impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Instance,Category
10.30.14.51,asset-031.corp.local,ASSET-031,DC2,RHEL 8,Active,300151,Apache Tomcat AJP Request Injection,VUL,3,8009,tcp,asset-031.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95151,5.0,5.0,6.5,6.5,6.2,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Tomcat AJP Request Injection detected on 10.30.14.51:8009.,No,tcp/8009,Web Application
10.30.15.52,asset-032.corp.local,ASSET-032,DR,Network Appliance,Active,300152,Apache Log4j Remote Code Execution,VUL,2,8080,tcp,asset-032.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95152,2.6,2.6,3.7,3.7,3.5,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Log4j Remote Code Execution detected on 10.30.15.52:8080.,No,tcp/8080,Web Application
10.30.16.53,asset-033.corp.local,ASSET-033,DC1,Windows Server 2019,Active,300153,Microsoft SQL Server Unsupported Version,VUL,5,1433,tcp,asset-033.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95153,9.0,9.0,9.8,9.8,9.4,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Microsoft SQL Server Unsupported Version detected on 10.30.16.53:1433.,Yes,tcp/1433,Database
10.30.17.54,asset-034.corp.local,ASSET-034,DC2,Ubuntu 22.04,Active,300154,OpenSSL Security Update Available,VUL,4,443,tcp,asset-034.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95154,7.5,7.5,8.1,8.1,8.0,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html,,OpenSSL Security Update Available detected on 10.30.17.54:443.,Yes,tcp/443,SSL
10.30.18.55,asset-035.corp.local,ASSET-035,DR,RHEL 8,Active,300155,Remote Desktop Weak Encryption Enabled,VUL,3,3389,tcp,asset-035.corp.local,No,,https://www.qualys.com/research/security-alerts/,95155,5.0,5.0,6.5,6.5,6.2,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Remote Desktop Weak Encryption Enabled detected on 10.30.18.55:3389.,No,tcp/3389,Windows
10.30.10.56,asset-036.corp.local,ASSET-036,DC1,Network Appliance,Active,300156,Nginx Security Update Available,VUL,2,443,tcp,asset-036.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95156,2.6,2.6,3.7,3.7,3.5,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Nginx Security Update Available detected on 10.30.10.56:443.,No,tcp/443,Web Server
10.30.11.57,asset-037.corp.local,ASSET-037,DC2,Windows Server 2019,Active,300157,SMB Signing Not Required,VUL,5,445,tcp,asset-037.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95157,9.0,9.0,9.8,9.8,9.4,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,,SMB Signing Not Required detected on 10.30.11.57:445.,Yes,tcp/445,Windows
10.30.12.58,asset-038.corp.local,ASSET-038,DR,Ubuntu 22.04,Active,300158,Oracle Java Unsupported Version,VUL,4,0,tcp,asset-038.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95158,7.5,7.5,8.1,8.1,8.0,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,,Oracle Java Unsupported Version detected on 10.30.12.58:0.,Yes,tcp/0,General
10.30.13.59,asset-039.corp.local,ASSET-039,DC1,RHEL 8,Active,300159,Linux Kernel Security Update Available,VUL,3,0,tcp,asset-039.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95159,5.0,5.0,6.5,6.5,6.2,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Linux Kernel Security Update Available detected on 10.30.13.59:0.,No,tcp/0,Linux
10.30.14.60,asset-040.corp.local,ASSET-040,DC2,Network Appliance,Active,300160,TLS 1.0 Protocol Detection,VUL,2,443,tcp,asset-040.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95160,2.6,2.6,3.7,3.7,3.5,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",,,TLS 1.0 Protocol Detection detected on 10.30.14.60:443.,No,tcp/443,SSL
10.30.11.21,asset-001.corp.local,ASSET-001,DR,Windows Server 2019,Active,300161,Apache Tomcat AJP Request Injection,VUL,5,8009,tcp,asset-001.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95161,9.0,9.0,9.8,9.8,9.4,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html,,Apache Tomcat AJP Request Injection detected on 10.30.11.21:8009.,Yes,tcp/8009,Web Application
10.30.12.22,asset-002.corp.local,ASSET-002,DC1,Ubuntu 22.04,Active,300162,Apache Log4j Remote Code Execution,VUL,4,8080,tcp,asset-002.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95162,7.5,7.5,8.1,8.1,8.0,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Log4j Remote Code Execution detected on 10.30.12.22:8080.,Yes,tcp/8080,Web Application
10.30.13.23,asset-003.corp.local,ASSET-003,DC2,RHEL 8,Active,300163,Microsoft SQL Server Unsupported Version,VUL,3,1433,tcp,asset-003.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95163,5.0,5.0,6.5,6.5,6.2,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Microsoft SQL Server Unsupported Version detected on 10.30.13.23:1433.,No,tcp/1433,Database
10.30.14.24,asset-004.corp.local,ASSET-004,DR,Network Appliance,Active,300164,OpenSSL Security Update Available,VUL,2,443,tcp,asset-004.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95164,2.6,2.6,3.7,3.7,3.5,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,OpenSSL Security Update Available detected on 10.30.14.24:443.,No,tcp/443,SSL
10.30.15.25,asset-005.corp.local,ASSET-005,DC1,Windows Server 2019,Active,300165,Remote Desktop Weak Encryption Enabled,VUL,5,3389,tcp,asset-005.corp.local,No,,https://www.qualys.com/research/security-alerts/,95165,9.0,9.0,9.8,9.8,9.4,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Remote Desktop Weak Encryption Enabled detected on 10.30.15.25:3389.,Yes,tcp/3389,Windows
10.30.16.26,asset-006.corp.local,ASSET-006,DC2,Ubuntu 22.04,Active,300166,Nginx Security Update Available,VUL,4,443,tcp,asset-006.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95166,7.5,7.5,8.1,8.1,8.0,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html,,Nginx Security Update Available detected on 10.30.16.26:443.,Yes,tcp/443,Web Server
10.30.17.27,asset-007.corp.local,ASSET-007,DR,RHEL 8,Active,300167,SMB Signing Not Required,VUL,3,445,tcp,asset-007.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95167,5.0,5.0,6.5,6.5,6.2,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,,,SMB Signing Not Required detected on 10.30.17.27:445.,No,tcp/445,Windows
10.30.18.28,asset-008.corp.local,ASSET-008,DC1,Network Appliance,Active,300168,Oracle Java Unsupported Version,VUL,2,0,tcp,asset-008.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95168,2.6,2.6,3.7,3.7,3.5,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,,Oracle Java Unsupported Version detected on 10.30.18.28:0.,No,tcp/0,General
10.30.10.29,asset-009.corp.local,ASSET-009,DC2,Windows Server 2019,Active,300169,Linux Kernel Security Update Available,VUL,5,0,tcp,asset-009.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95169,9.0,9.0,9.8,9.8,9.4,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,,Linux Kernel Security Update Available detected on 10.30.10.29:0.,Yes,tcp/0,Linux
10.30.11.30,asset-010.corp.local,ASSET-010,DR,Ubuntu 22.04,Active,300170,TLS 1.0 Protocol Detection,VUL,4,443,tcp,asset-010.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95170,7.5,7.5,8.1,8.1,8.0,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.qualys.com/research/security-alerts/,Observed malware association,TLS 1.0 Protocol Detection detected on 10.30.11.30:443.,Yes,tcp/443,SSL
10.30.12.31,asset-011.corp.local,ASSET-011,DC1,RHEL 8,Active,300171,Apache Tomcat AJP Request Injection,VUL,3,8009,tcp,asset-011.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95171,5.0,5.0,6.5,6.5,6.2,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Tomcat AJP Request Injection detected on 10.30.12.31:8009.,No,tcp/8009,Web Application
10.30.13.32,asset-012.corp.local,ASSET-012,DC2,Network Appliance,Active,300172,Apache Log4j Remote Code Execution,VUL,2,8080,tcp,asset-012.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95172,2.6,2.6,3.7,3.7,3.5,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Log4j Remote Code Execution detected on 10.30.13.32:8080.,No,tcp/8080,Web Application
10.30.14.33,asset-013.corp.local,ASSET-013,DR,Windows Server 2019,Active,300173,Microsoft SQL Server Unsupported Version,VUL,5,1433,tcp,asset-013.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95173,9.0,9.0,9.8,9.8,9.4,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support,,Microsoft SQL Server Unsupported Version detected on 10.30.14.33:1433.,Yes,tcp/1433,Database
10.30.15.34,asset-014.corp.local,ASSET-014,DC1,Ubuntu 22.04,Active,300174,OpenSSL Security Update Available,VUL,4,443,tcp,asset-014.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95174,7.5,7.5,8.1,8.1,8.0,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,OpenSSL Security Update Available detected on 10.30.15.34:443.,Yes,tcp/443,SSL
10.30.16.35,asset-015.corp.local,ASSET-015,DC2,RHEL 8,Active,300175,Remote Desktop Weak Encryption Enabled,VUL,3,3389,tcp,asset-015.corp.local,No,,https://www.qualys.com/research/security-alerts/,95175,5.0,5.0,6.5,6.5,6.2,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,Observed malware association,Remote Desktop Weak Encryption Enabled detected on 10.30.16.35:3389.,No,tcp/3389,Windows
10.30.17.36,asset-016.corp.local,ASSET-016,DR,Network Appliance,Active,300176,Nginx Security Update Available,VUL,2,443,tcp,asset-016.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95176,2.6,2.6,3.7,3.7,3.5,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Nginx Security Update Available detected on 10.30.17.36:443.,No,tcp/443,Web Server
10.30.18.37,asset-017.corp.local,ASSET-017,DC1,Windows Server 2019,Active,300177,SMB Signing Not Required,VUL,5,445,tcp,asset-017.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95177,9.0,9.0,9.8,9.8,9.4,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,,,SMB Signing Not Required detected on 10.30.18.37:445.,Yes,tcp/445,Windows
10.30.10.38,asset-018.corp.local,ASSET-018,DC2,Ubuntu 22.04,Active,300178,Oracle Java Unsupported Version,VUL,4,0,tcp,asset-018.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95178,7.5,7.5,8.1,8.1,8.0,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,,Oracle Java Unsupported Version detected on 10.30.10.38:0.,Yes,tcp/0,General
10.30.11.39,asset-019.corp.local,ASSET-019,DR,RHEL 8,Active,300179,Linux Kernel Security Update Available,VUL,3,0,tcp,asset-019.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95179,5.0,5.0,6.5,6.5,6.2,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Linux Kernel Security Update Available detected on 10.30.11.39:0.,No,tcp/0,Linux
10.30.12.40,asset-020.corp.local,ASSET-020,DC1,Network Appliance,Active,300180,TLS 1.0 Protocol Detection,VUL,2,443,tcp,asset-020.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95180,2.6,2.6,3.7,3.7,3.5,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",,,TLS 1.0 Protocol Detection detected on 10.30.12.40:443.,No,tcp/443,SSL
